Country_Code,Country_Name,Year,Series,Value,Footnotes,Source
458,Malaysia,2019,GDP per capita (US dollars),"11,414",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
462,Maldives,2019,GDP per capita (US dollars),"10,626",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
466,Mali,2019,GDP per capita (US dollars),887,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
470,Malta,2019,GDP per capita (US dollars),"33,752",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
584,Marshall Islands,2019,GDP per capita (US dollars),"4,038",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
478,Mauritania,2019,GDP per capita (US dollars),"1,678",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
480,Mauritius,2019,GDP per capita (US dollars),"11,169",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
484,Mexico,2019,GDP per capita (US dollars),"9,849",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
583,Micronesia (Fed. States of),2019,GDP per capita (US dollars),"3,640",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
492,Monaco,2019,GDP per capita (US dollars),"190,532",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
496,Mongolia,2019,GDP per capita (US dollars),"4,295",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
499,Montenegro,2019,GDP per capita (US dollars),"8,825",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
500,Montserrat,2019,GDP per capita (US dollars),"13,487",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
504,Morocco,2019,GDP per capita (US dollars),"3,282",Including Western Sahara.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
508,Mozambique,2019,GDP per capita (US dollars),504,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
104,Myanmar,2019,GDP per capita (US dollars),"1,421",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
516,Namibia,2019,GDP per capita (US dollars),"4,957",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
520,Nauru,2019,GDP per capita (US dollars),"12,351",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
524,Nepal,2019,GDP per capita (US dollars),"1,074",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
528,Netherlands,2019,GDP per capita (US dollars),"53,053",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
540,New Caledonia,2019,GDP per capita (US dollars),"34,942",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
554,New Zealand,2019,GDP per capita (US dollars),"43,229",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
558,Nicaragua,2019,GDP per capita (US dollars),"1,913",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
562,Niger,2019,GDP per capita (US dollars),555,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
566,Nigeria,2019,GDP per capita (US dollars),"2,361",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
807,North Macedonia,2019,GDP per capita (US dollars),"6,093",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
578,Norway,2019,GDP per capita (US dollars),"74,986",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
512,Oman,2019,GDP per capita (US dollars),"15,343",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
586,Pakistan,2019,GDP per capita (US dollars),"1,187",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
585,Palau,2019,GDP per capita (US dollars),"15,572",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
591,Panama,2019,GDP per capita (US dollars),"15,728",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
598,Papua New Guinea,2019,GDP per capita (US dollars),"2,845",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
600,Paraguay,2019,GDP per capita (US dollars),"5,406",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
604,Peru,2019,GDP per capita (US dollars),"6,978",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
608,Philippines,2019,GDP per capita (US dollars),"3,324",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
616,Poland,2019,GDP per capita (US dollars),"15,727",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
620,Portugal,2019,GDP per capita (US dollars),"23,350",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
630,Puerto Rico,2019,GDP per capita (US dollars),"35,791",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
634,Qatar,2019,GDP per capita (US dollars),"64,782",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
410,Republic of Korea,2019,GDP per capita (US dollars),"32,143",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
498,Republic of Moldova,2019,GDP per capita (US dollars),"2,957",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
642,Romania,2019,GDP per capita (US dollars),"12,914",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
643,Russian Federation,2019,GDP per capita (US dollars),"11,606",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
646,Rwanda,2019,GDP per capita (US dollars),820,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
659,Saint Kitts and Nevis,2019,GDP per capita (US dollars),"19,896",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
662,Saint Lucia,2019,GDP per capita (US dollars),"11,611",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
670,Saint Vincent & Grenadines,2019,GDP per capita (US dollars),"7,464",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
