Country_Code,Country_Name,Year,Series,Value,Footnotes,Source
578,Norway,2019,Population density,14.7,Including Svalbard and Jan Mayen Islands.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
512,Oman,2019,Population density,16.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
586,Pakistan,2019,Population density,280.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
585,Palau,2019,Population density,39.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
591,Panama,2019,Population density,57.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
598,Papua New Guinea,2019,Population density,19.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
600,Paraguay,2019,Population density,17.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
604,Peru,2019,Population density,25.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
608,Philippines,2019,Population density,362.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
616,Poland,2019,Population density,123.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
620,Portugal,2019,Population density,111.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
630,Puerto Rico,2019,Population density,330.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
634,Qatar,2019,Population density,243.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
410,Republic of Korea,2019,Population density,526.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
498,Republic of Moldova,2019,Population density,123.1,Including the Transnistria region.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
638,Réunion,2019,Population density,355.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
642,Romania,2019,Population density,84.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
643,Russian Federation,2019,Population density,8.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
646,Rwanda,2019,Population density,511.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
654,Saint Helena,2019,Population density,15.5,"Including Ascension and Tristan da Cunha. For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
659,Saint Kitts and Nevis,2019,Population density,203.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
662,Saint Lucia,2019,Population density,299.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
666,Saint Pierre and Miquelon,2019,Population density,25.3,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
670,Saint Vincent & Grenadines,2019,Population density,283.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
882,Samoa,2019,Population density,69.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
674,San Marino,2019,Population density,564.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
678,Sao Tome and Principe,2019,Population density,224,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
682,Saudi Arabia,2019,Population density,15.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
686,Senegal,2019,Population density,84.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
688,Serbia,2019,Population density,100.3,Including Kosovo.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
690,Seychelles,2019,Population density,212.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
694,Sierra Leone,2019,Population density,108.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
702,Singapore,2019,Population density,"8,291.90",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
534,Sint Maarten (Dutch part),2019,Population density,"1,246.70",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
703,Slovakia,2019,Population density,113.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
705,Slovenia,2019,Population density,103.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
90,Solomon Islands,2019,Population density,23.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
706,Somalia,2019,Population density,24.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
710,South Africa,2019,Population density,48.3,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
724,Spain,2019,Population density,93.7,"Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
144,Sri Lanka,2019,Population density,340,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
